code,name,unit,price,category,page
9056,ABACAXI EM CALDA RODELAS TOZZI 400 G (CX 12 LT),LT,17.05,Conservas,1
9664,ACÉM BOVINO CONGELADO EM CUBOS ALFAMA 2 KG (CX 3 PCT),PCT,80.13,Carnes,1
3421,ACÉM BOVINO RESFRIADO JORDANÉSIA 12 KG (CX 29 KG),KG,33.97,Carnes,1
8474,ACÉM BOVINO RESFRIADO MATOSO 14 KG (CX 28 KG),KG,35.04,Carnes,1
3831,ACÉM BOVINO RESFRIADO NOSSO BEEF FRIGO NOSSO 11 KG (CX 22 KG),KG,35.75,Carnes,1
218,ACETO BALSÂMICO DI MODENA DI SALERNO 500 ML (CX 12 VD),VD,22.2,Molhos e Condimentos,1
8285,ACETO BALSÂMICO DI MODENA DON RAVELLO 500 ML (CX 12 VD),VD,21.21,Molhos e Condimentos,1
6077,ACHOCOLATADO EM PÓ CHOCKY ITALAC 700 G (CX 12 PCT),PCT,10.11,Outros,1
8755,"ACHOCOLATADO EM PÓ NESCAU 2,01 KG (CX 4 PCT)",PCT,42.78,Outros,1
3329,ACHOCOLATADO EM PÓ OVOMALTINE FLOCOS CROCANTES 750 G (CX 12 PCT),PCT,37.08,Outros,1
6956,ACHOCOLATADO EM PÓ TODDY 1.8 KG (CX 6 PCT),PCT,40.4,Outros,1
4224,AÇÚCAR CONFEITEIRO GLAÇÚCAR UNIÃO 500 G (FDO 20 PCT),FD,54.23,Açúcares e Adoçantes,1
8344,AÇÚCAR CONFEITEIRO ITAIQUARA 1 KG (FDO 10 PCT),PCT,11.8,Açúcares e Adoçantes,1
4385,AÇÚCAR CRISTALÇUCAR UNIÃO 1 KG (FDO 10 PCT),FD,39.11,Açúcares e Adoçantes,1
1027,AÇÚCAR DEMERARA DA BARRA 1 KG (FDO 10 PCT),FD,49.11,Açúcares e Adoçantes,1
4225,AÇÚCAR DEMERARA NATURALE UNIÃO 1 KG (FDO 10 PCT),FD,54.82,Açúcares e Adoçantes,1
3922,AÇÚCAR MASCAVO 3 GARÇAS 1 KG (FDO 10 PCT),PCT,9.63,Açúcares e Adoçantes,1
4672,AÇÚCAR MASCAVO UNIÃO 1 KG (CX 12 PCT),PCT,15.19,Açúcares e Adoçantes,1
4756,AÇÚCAR ORGÂNICO UNIÃO 1 KG (FDO 10 PCT),FD,61.03,Açúcares e Adoçantes,2
7566,AÇÚCAR REFINADO ALTO ALEGRE 1 KG (FDO 10 PCT),FD,32.3,Açúcares e Adoçantes,2
692,AÇÚCAR REFINADO CARAVELAS 1 KG (FDO 10 PCT),FD,33.37,Cereais e Grãos,2
8551,AÇÚCAR REFINADO GLOBO 1 KG (FDO 10 PCT),FD,32.77,Açúcares e Adoçantes,2
4261,AÇÚCAR REFINADO GRANULADO DOÇÚCAR UNIÃO 1 KG (FDO 10 PCT),FD,46.02,Açúcares e Adoçantes,2
254,AÇÚCAR REFINADO UNIÃO 1 KG (FDO 10 PCT),FD,40.4,Açúcares e Adoçantes,2
3457,AÇÚCAR SACHÊ CRISTAL GUARANI 5 G (CX 1000 UN),CX,57.92,Açúcares e Adoçantes,2
5343,AÇÚCAR SACHÊ MASCAVO UNIÃO 4 G (CX 200 UN),CX,23.19,Açúcares e Adoçantes,2
4663,AÇÚCAR SACHÊ ORGÂNICO UNIÃO 5 G (CX 400 UN),CX,23.78,Açúcares e Adoçantes,2
472,AÇÚCAR SACHÊ PREMIUM UNIÃO 5 G (CX 400 UN),CX,16.97,Açúcares e Adoçantes,2
5847,ADOÇANTE LÍQUIDO SUCRALOSE UNIÃO 65 ML (CX 12 FR),CX,83.13,Açúcares e Adoçantes,2
918,"ADOÇANTE SACHÊ DEGUST 0,4 G (CX 1000 UN)",CX,56.42,Açúcares e Adoçantes,2
